,close,rsi (14),macd,macd signal,bol_upper (20),bol_lower (20),sma50,sma100,sma200,Y
Fri Feb  9 04:59:15 2018,9.34e-05,39.5526712245252,-8.14201706070218e-08,-1.115771234162018e-08,9.390900000000013e-05,9.390900000000013e-05,9.378060000000004e-05,9.365410000000008e-05,9.38843500000001e-05,1
Fri Feb  9 05:01:15 2018,9.449e-05,60.9458247615038,-2.0114785493911456e-08,-2.5005908849584296e-08,9.390100000000014e-05,9.390100000000014e-05,9.380480000000004e-05,9.365800000000007e-05,9.38863000000001e-05,0
Fri Feb  9 05:02:15 2018,9.434e-05,57.86632794028772,2.0169709882326644e-08,-1.597078510320211e-08,9.389550000000014e-05,9.389550000000014e-05,9.382360000000003e-05,9.366420000000007e-05,9.38882500000001e-05,1
Fri Feb  9 05:07:15 2018,9.473e-05,63.78552223147223,1.8455682885076623e-07,8.848839041636679e-08,9.405150000000014e-05,9.405150000000014e-05,9.394960000000002e-05,9.370820000000009e-05,9.390570000000013e-05,0
Fri Feb  9 05:08:15 2018,9.47e-05,62.93280720129313,2.0181145600776853e-07,1.1115300353464714e-07,9.408850000000014e-05,9.408850000000014e-05,9.397520000000001e-05,9.371890000000008e-05,9.390940000000012e-05,1
Fri Feb  9 05:11:15 2018,9.474e-05,61.6074487302109,2.4346698686496693e-07,1.7355523715430434e-07,9.422300000000014e-05,9.422300000000014e-05,9.405960000000003e-05,9.375150000000008e-05,9.392290000000013e-05,1
Fri Feb  9 05:12:15 2018,9.496e-05,65.54472803244401,2.582761824350047e-07,1.904994262104444e-07,9.428250000000015e-05,9.428250000000015e-05,9.408960000000003e-05,9.376140000000007e-05,9.392770000000014e-05,0
Fri Feb  9 05:15:15 2018,9.47e-05,57.61407143492113,2.3093636433603318e-07,2.1583733840279544e-07,9.440600000000015e-05,9.440600000000015e-05,9.416720000000002e-05,9.378950000000007e-05,9.393825000000012e-05,1
Fri Feb  9 05:16:15 2018,9.482e-05,60.243409808616036,2.2599628414248418e-07,2.178691275507332e-07,9.446450000000015e-05,9.446450000000015e-05,9.419360000000001e-05,9.38017000000001e-05,9.394185000000011e-05,0
Fri Feb  9 05:19:15 2018,9.466e-05,55.13609281566549,1.7791368331910294e-07,2.0521443318274403e-07,9.463400000000016e-05,9.463400000000016e-05,9.425920000000001e-05,9.38335000000001e-05,9.395030000000012e-05,1
Fri Feb  9 05:20:15 2018,9.475e-05,57.56639959720763,1.6965176298596623e-07,1.9810189914338848e-07,9.469050000000017e-05,9.469050000000017e-05,9.427920000000001e-05,9.384600000000009e-05,9.395255000000014e-05,0
Fri Feb  9 05:22:15 2018,9.469e-05,55.384773586729786,1.4495580975082227e-07,1.8093746397265515e-07,9.471850000000017e-05,9.471850000000017e-05,9.4309e-05,9.387050000000008e-05,9.395595000000014e-05,1
Fri Feb  9 05:32:15 2018,9.45e-05,44.78363060205187,3.3703092920965355e-08,8.371897597393787e-08,9.469000000000017e-05,9.469000000000017e-05,9.437559999999998e-05,9.401360000000009e-05,9.398415000000016e-05,1
Fri Feb  9 05:42:15 2018,9.449e-05,43.950452292243256,-2.010864019589588e-08,-1.4933144195601843e-09,9.457800000000014e-05,9.457800000000014e-05,9.449019999999996e-05,9.41177000000001e-05,9.401290000000019e-05,1
Fri Feb  9 05:59:15 2018,9.48e-05,62.21629656796208,7.789539649916621e-08,6.131396827861429e-08,9.468500000000015e-05,9.468500000000015e-05,9.467279999999999e-05,9.43387000000001e-05,9.408150000000011e-05,1
Fri Feb  9 06:00:15 2018,9.483e-05,64.72372855892255,7.618976870727627e-08,6.428912836434668e-08,9.470150000000016e-05,9.470150000000016e-05,9.467199999999999e-05,9.435280000000009e-05,9.40856500000001e-05,0
Fri Feb  9 06:02:15 2018,9.475e-05,53.86572645393372,6.38012473997302e-08,6.548765156413956e-08,9.473000000000016e-05,9.473000000000016e-05,9.466919999999998e-05,9.43794000000001e-05,9.409340000000013e-05,1
Fri Feb  9 06:03:15 2018,9.485e-05,62.490500026623174,6.432249216867583e-08,6.525461968504682e-08,9.474750000000016e-05,9.474750000000016e-05,9.466979999999999e-05,9.43934000000001e-05,9.409765000000013e-05,0
Fri Feb  9 06:04:15 2018,9.48e-05,56.77521981601865,6.000925098003718e-08,6.420554594404489e-08,9.475800000000015e-05,9.475800000000015e-05,9.467059999999997e-05,9.44068000000001e-05,9.410010000000013e-05,1
Fri Feb  9 06:08:15 2018,9.511e-05,74.43409521015424,9.221440564099917e-08,7.228307117654679e-08,9.483100000000016e-05,9.483100000000016e-05,9.469099999999998e-05,9.44649000000001e-05,9.410315000000011e-05,0
Fri Feb  9 06:10:15 2018,9.495e-05,59.169825696008914,9.044577979998975e-08,7.947197559943642e-08,9.486400000000017e-05,9.486400000000017e-05,9.470199999999998e-05,9.44906000000001e-05,9.41081000000001e-05,1
Fri Feb  9 06:14:15 2018,9.52e-05,70.96288959809763,1.1189805421801238e-07,9.324139059907733e-08,9.493350000000016e-05,9.493350000000016e-05,9.4734e-05,9.452930000000009e-05,9.411435000000012e-05,0
Fri Feb  9 06:15:15 2018,9.506e-05,59.458669644761656,1.0720457103862064e-07,9.603402668698599e-08,9.494150000000017e-05,9.494150000000017e-05,9.474059999999999e-05,9.453680000000007e-05,9.411555000000012e-05,1
Fri Feb  9 06:16:15 2018,9.519e-05,65.11421382648962,1.1267600648452931e-07,9.936242264649465e-08,9.495600000000017e-05,9.495600000000017e-05,9.475020000000001e-05,9.454470000000008e-05,9.411755000000011e-05,0
Fri Feb  9 06:20:15 2018,9.503e-05,53.7972110486066,9.087109540699607e-08,1.0066571707647486e-07,9.500850000000018e-05,9.500850000000018e-05,9.47864e-05,9.45770000000001e-05,9.41294500000001e-05,1
Fri Feb  9 06:21:15 2018,9.51e-05,57.60806020143345,8.66952087120082e-08,9.787161540358152e-08,9.502300000000018e-05,9.502300000000018e-05,9.479740000000001e-05,9.458600000000011e-05,9.41339000000001e-05,0
Fri Feb  9 06:23:15 2018,9.497e-05,49.32660707712454,6.162931499780291e-08,8.687702726557749e-08,9.504150000000017e-05,9.504150000000017e-05,9.48166e-05,9.459800000000011e-05,9.414385000000011e-05,1
Fri Feb  9 06:35:15 2018,9.868e-05,93.7999200208294,8.911323569973397e-07,6.016320234342428e-07,9.623300000000017e-05,9.623300000000017e-05,9.54118e-05,9.49699000000001e-05,9.431765000000013e-05,0
Fri Feb  9 06:36:15 2018,9.755e-05,65.87282292045359,8.469024367432378e-07,6.506861060960418e-07,9.635100000000019e-05,9.635100000000019e-05,9.54706e-05,9.500890000000009e-05,9.433625000000011e-05,1
Fri Feb  9 06:37:15 2018,9.837e-05,72.31446198371589,8.680111609117461e-07,6.941511170591826e-07,9.651250000000018e-05,9.651250000000018e-05,9.554540000000001e-05,9.505600000000009e-05,9.435875000000011e-05,0
Fri Feb  9 06:38:15 2018,9.829e-05,70.9082410737438,8.682757036544654e-07,7.289760343782392e-07,9.667000000000017e-05,9.667000000000017e-05,9.56186e-05,9.510280000000008e-05,9.438085000000013e-05,1
Fri Feb  9 06:46:15 2018,9.854e-05,69.64434286112731,7.362083519315069e-07,7.953453965423122e-07,9.804650000000016e-05,9.804650000000016e-05,9.62296e-05,9.544910000000005e-05,9.457325000000014e-05,0
Fri Feb  9 06:49:15 2018,9.779e-05,53.26115253504249,5.072915321817644e-07,6.872076946957087e-07,9.824850000000017e-05,9.824850000000017e-05,9.641560000000002e-05,9.554420000000006e-05,9.463765000000015e-05,1
Fri Feb  9 06:52:15 2018,9.852e-05,63.79443745870241,4.4099878873225145e-07,5.693743407873717e-07,9.83385000000002e-05,9.83385000000002e-05,9.662680000000004e-05,9.564800000000006e-05,9.470470000000015e-05,0
Fri Feb  9 06:54:15 2018,9.815e-05,56.14433637994727,3.7080446127587174e-07,5.038124402135482e-07,9.83355000000002e-05,9.83355000000002e-05,9.676140000000005e-05,9.571600000000004e-05,9.474775000000017e-05,1
Fri Feb  9 06:55:15 2018,9.826e-05,57.85826722686579,3.4634915021722855e-07,4.723197822142843e-07,9.831450000000019e-05,9.831450000000019e-05,9.682940000000006e-05,9.575160000000004e-05,9.477055000000018e-05,0
Fri Feb  9 06:56:15 2018,9.792e-05,51.19800183430363,2.961195002400377e-07,4.37079725819435e-07,9.833300000000018e-05,9.833300000000018e-05,9.688840000000005e-05,9.578260000000003e-05,9.479215000000018e-05,1
Fri Feb  9 06:58:15 2018,9.799e-05,52.46457281205982,2.2445872862670224e-07,3.6554826898006313e-07,9.829700000000019e-05,9.829700000000019e-05,9.700500000000008e-05,9.584800000000002e-05,9.483545000000019e-05,0
Fri Feb  9 06:59:15 2018,9.788e-05,50.19054566809449,1.885829865046581e-07,3.3015521248498214e-07,9.826850000000019e-05,9.826850000000019e-05,9.706240000000007e-05,9.588020000000002e-05,9.48568500000002e-05,1
Fri Feb  9 07:04:15 2018,9.772e-05,45.76668224803529,8.166485103578553e-08,1.8880445981215443e-07,9.809150000000016e-05,9.809150000000016e-05,9.734800000000007e-05,9.604100000000004e-05,9.49693500000002e-05,1
Fri Feb  9 07:05:15 2018,9.797e-05,51.88101284551563,7.439110031196646e-08,1.6592178791211683e-07,9.806500000000018e-05,9.806500000000018e-05,9.740620000000008e-05,9.607340000000004e-05,9.499280000000019e-05,0
Fri Feb  9 07:06:15 2018,9.775e-05,46.87292274415539,5.029467338804085e-08,1.4279636500730164e-07,9.802550000000017e-05,9.802550000000017e-05,9.745740000000007e-05,9.610380000000005e-05,9.501595000000021e-05,1
Fri Feb  9 07:08:15 2018,9.79e-05,50.43974187922575,3.460745742254567e-08,1.0477759666140773e-07,9.801300000000017e-05,9.801300000000017e-05,9.756720000000006e-05,9.616740000000006e-05,9.50623500000002e-05,0
Fri Feb  9 07:19:15 2018,9.78e-05,47.68869415508431,-8.981034775392446e-09,4.4566896635270195e-09,9.785800000000015e-05,9.785800000000015e-05,9.80692000000001e-05,9.65297e-05,9.531100000000023e-05,1
Fri Feb  9 07:24:15 2018,9.798e-05,55.87175303384293,1.5548983315464312e-08,4.9408129544719685e-09,9.785500000000014e-05,9.785500000000014e-05,9.80692000000001e-05,9.669979999999996e-05,9.541710000000025e-05,0
Fri Feb  9 07:25:15 2018,9.791e-05,51.874795737116884,1.5769755204922257e-08,7.106601404562026e-09,9.785200000000013e-05,9.785200000000013e-05,9.805380000000007e-05,9.673279999999996e-05,9.543945000000024e-05,1
